"","Fem","Masc"
"1",1012136,1089987
"2",1030354,1103924
"3",1077503,1139806
"4",1142397,1188788
"5",1211895,1240988
"6",1269536,1284779
"7",1300719,1310438
"8",1309422,1321747
"9",1305797,1326665
"10",1300514,1333504
"11",1304187,1350782
"12",1324763,1384901
"13",1359185,1432078
"14",1401440,1485415
"15",1444906,1537024
"16",1482134,1577917
"17",1506729,1600504
"18",1519190,1605908
"19",1522128,1598004
"20",1518398,1580994
"21",1510943,1559122
"22",1502214,1535695
"23",1492700,1510717
"24",1482401,1483435
"25",1471320,1453166
"26",1459460,1419308
"27",1447351,1382402
"28",1437575,1347041
"29",1433167,1318364
"30",1437171,1301123
"31",1452781,1300016
"32",1482305,1318277
"33",1523371,1352105
"34",1572244,1395848
"35",1624786,1443339
"36",1676289,1487575
"37",1721937,1522012
"38",1758455,1544942
"39",1782970,1556174
"40",1792705,1555793
"41",1785168,1544152
"42",1759799,1522461
"43",1722235,1494523
"44",1679398,1464600
"45",1637696,1436663
"46",1602944,1414392
"47",1579284,1400077
"48",1565931,1391247
"49",1561109,1384387
"50",1563223,1376079
"51",1570775,1362992
"52",1581838,1343038
"53",1592581,1318598
"54",1598604,1293003
"55",1595467,1269355
"56",1578886,1250539
"57",1546650,1238075
"58",1503466,1228636
"59",1455430,1217835
"60",1408061,1201447
"61",1366219,1175531
"62",1332491,1137909
"63",1302544,1091771
"64",1270819,1041311
"65",1232303,990215
"66",1182696,941572
"67",1120483,897135
"68",1051657,855400
"69",982912,814412
"70",919524,772573
"71",865476,728641
"72",822149,682144
"73",784351,634393
"74",746312,586872
"75",703343,540774
"76",651981,497005
"77",592031,456007
"78",530456,417342
"79",473738,380515
"80",425990,345196
"81",389601,311189
"82",364685,278424
"83",346196,246937
"84",328997,216843
"85",308947,188305
"86",282981,161517
"87",250489,136727
"88",215489,114298
"89",181858,94452
"90",151977,77232
"91",126947,62552
"92",106663,50243
"93",89626,40118
"94",74650,31926
"95",61088,25389
"96",48683,20229
"97",37521,16135
"98",27987,12698
"99",20256,9683
"100",14263,7028
"101",9797,4768
"102",6585,3019
"103",4353,1898
"104",2847,1282
"105",1852,1007
"106",1206,995
"107",790,1273
"108",523,1786
"109",350,2215
"110",239,1957
"111",166,993
"112",119,258
"113",89,46
"114",70,8
"115",60,2
"116",57,1
