FaixaEtaria;UF;Fem;Masc
"[0-5)";"11";56744;58215
"[5-10)";"11";59625;62156
"[10-15)";"11";65787;70134
"[15-20)";"11";70692;74645
"[20-25)";"11";70217;69407
"[25-30)";"11";67100;60543
"[30-35)";"11";65706;55204
"[35-40)";"11";68677;56717
"[40-45)";"11";73016;61976
"[45-50)";"11";73591;65772
"[50-55)";"11";66588;63090
"[55-60)";"11";54603;54925
"[60-65)";"11";41623;44413
"[65-70)";"11";30171;33738
"[70-75)";"11";21036;23232
"[75-80)";"11";14232;13831
"[80-85)";"11";8957;6832
"[85-90)";"11";4102;2760
"[90-95)";"11";1016;904
"[95-100)";"11";144;274
"[100+)";"11";50;153
"[0-5)";"12";32098;33343
"[5-10)";"12";33010;35126
"[10-15)";"12";35011;38794
"[15-20)";"12";36874;41243
"[20-25)";"12";37459;39724
"[25-30)";"12";36906;36023
"[30-35)";"12";35771;32763
"[35-40)";"12";34438;31184
"[40-45)";"12";32645;29818
"[45-50)";"12";30066;26934
"[50-55)";"12";26594;22102
"[55-60)";"12";22482;17342
"[60-65)";"12";18109;14006
"[65-70)";"12";13855;12061
"[70-75)";"12";10040;9841
"[75-80)";"12";6872;6506
"[80-85)";"12";4308;3179
"[85-90)";"12";2145;1356
"[90-95)";"12";716;637
"[95-100)";"12";171;398
"[100+)";"12";80;341
"[0-5)";"13";144673;167433
"[5-10)";"13";151918;176071
"[10-15)";"13";167090;192548
"[15-20)";"13";178214;199694
"[20-25)";"13";174450;184422
"[25-30)";"13";162003;160046
"[30-35)";"13";150815;141809
"[35-40)";"13";146285;135960
"[40-45)";"13";143812;135298
"[45-50)";"13";137105;130749
"[50-55)";"13";122298;116473
"[55-60)";"13";101817;96174
"[60-65)";"13";79583;75095
"[65-70)";"13";58576;56048
"[70-75)";"13";40256;38951
"[75-80)";"13";25539;24327
"[80-85)";"13";14820;13054
"[85-90)";"13";7860;5536
"[90-95)";"13";3815;1691
"[95-100)";"13";1835;414
"[100+)";"13";1295;202
"[0-5)";"14";22751;23117
"[5-10)";"14";23591;23396
"[10-15)";"14";25358;23951
"[15-20)";"14";26747;24336
"[20-25)";"14";26586;24132
"[25-30)";"14";25345;23169
"[30-35)";"14";23927;21410
"[35-40)";"14";22845;19031
"[40-45)";"14";21550;16608
"[45-50)";"14";19407;14600
"[50-55)";"14";16248;13108
"[55-60)";"14";12706;11611
"[60-65)";"14";9397;9686
"[65-70)";"14";6628;7333
"[70-75)";"14";4427;5044
"[75-80)";"14";2767;3185
