Idade,Fem,Masc
0,1426278,1495092
1,1434673,1503576
2,1443013,1512039
3,1450935,1520011
4,1425083,1492581
5,1436087,1503791
6,1465983,1534825
7,1436471,1503586
8,1417344,1483167
9,1421257,1486883
10,1416393,1481330
11,1412677,1476761
12,1433989,1498385
13,1444068,1508174
14,1455847,1519540
15,1493787,1557323
16,1512400,1574065
17,1518185,1577131
18,1533536,1590104
19,1559219,1613637
20,1622326,1675033
21,1654933,1702908
22,1696100,1740142
23,1722797,1760845
24,1726729,1755981
25,1715945,1734509
26,1706512,1715466
27,1694756,1694412
28,1689415,1681239
29,1696212,1682752
30,1710076,1692817
31,1719671,1698864
32,1726587,1703203
33,1733502,1705637
34,1740296,1704993
35,1745548,1700899
36,1748731,1695071
37,1750898,1688185
38,1744544,1673947
39,1726247,1649653
40,1698776,1617523
41,1670379,1584291
42,1641458,1550672
43,1607740,1513311
44,1568587,1471680
45,1525722,1426991
46,1481777,1381213
47,1435922,1333878
48,1399140,1296020
49,1376825,1272932
50,1362770,1257807
51,1346603,1240283
52,1331032,1224048
53,1313566,1204535
54,1292050,1178898
55,1266357,1147222
56,1240715,1115651
57,1216008,1085335
58,1187728,1052696
59,1154491,1017165
60,1116174,977405
61,1076777,936628
62,1037550,896984
63,997917,857122
64,958378,817240
65,916729,774896
66,873594,731671
67,831542,690289
68,790349,650675
69,750601,613387
70,709101,574544
71,667096,535113
72,627959,499030
73,589046,463438
74,549789,427785
75,507920,389500
76,466368,351814
77,427722,317640
78,394227,287871
79,367546,263410
80,341562,239559
81,314760,215832
82,291789,195947
83,268307,176321
84,243015,156099
85,213824,133804
86,185660,113080
87,161546,95925
88,140565,81304
89,122989,69309
90+,578698,277513
