"Country" "Population..2020." "Yearly.Change" "Net.Change" "Density..P.Km.." "Land.Area..Km.." "Migrants..net." "Fert..Rate" "Med..Age" "Urban.Pop.." "World.Share"
"China" 1439323776 0 5540090 153 9388211 -348399 1 38 61 18
"India" 1380004385 0 13586631 464 2973190 -532687 2 28 35 17
"US" 331002651 0 1937734 36 9147420 954806 1 38 83 4
"Indonesia" 273523615 1 2898047 151 1811570 -98955 2 30 56 3
"Pakistan" 220892340 2 4327022 287 770880 -233379 3 23 35 2
"Brazil" 212559417 0 1509890 25 8358140 21200 1 33 88 2
"Nigeria" 206139589 2 5175990 226 910770 -60000 5 18 52 2
"Bangladesh" 164689383 1 1643222 1265 130170 -369501 2 28 39 2
"Russia" 145934462 0 62206 9 16376870 182456 1 40 74 1
"Mexico" 128932753 1 1357224 66 1943950 -60000 2 29 84 1
"Japan" 126476461 0 -383840 347 364555 71560 1 48 92 1
"Ethiopia" 114963588 2 2884858 115 1000000 30000 4 19 21 1
"Philippines" 109581078 1 1464463 368 298170 -67152 2 26 47 1
"Egypt" 102334404 1 1946331 103 995450 -38033 3 25 43 1
"Vietnam" 97338579 0 876473 314 310070 -80000 2 32 38 1
"DR Congo" 89561403 3 2770836 40 2267050 23861 6 17 46 1
"Turkey" 84339067 1 909452 110 769630 283922 2 32 76 1
"Iran" 83992949 1 1079043 52 1628550 -55000 2 32 76 1
"Germany" 83783942 0 266897 240 348560 543822 1 46 76 1
"Thailand" 69799978 0 174396 137 510890 19444 1 40 51 0
"United Kingdom" 67886011 0 355839 281 241930 260650 1 40 83 0
"France" 65273511 0 143783 119 547557 36527 1 42 82 0
"Italy" 60461826 0 -88249 206 294140 148943 1 47 69 0
"Tanzania" 59734218 2 1728755 67 885800 -40076 4 18 37 0
"South Africa" 59308690 1 750420 49 1213090 145405 2 28 67 0
"Myanmar" 54409800 0 364380 83 653290 -163313 2 29 31 0
"Kenya" 53771296 2 1197323 94 569140 -10000 3 20 28 0
"Korea, South" 51269185 0 43877 527 97230 11731 1 44 82 0
